|text|rt_count|tweet_datetime
51|"@Kranged unless you're VERY close to Sweden I gotta disagree... tutorial is THAT long.
Great game, but poorly optimized at best.
Have fun ;)"|0|Mon Feb 15 20:44:33 +0000 2016
52|Love you @jeremiahlwj !!!|0|Mon Feb 15 20:44:33 +0000 2016
53|@Billyesmiwacho: DOCE. #VoteLabRats #KCA|6|Mon Feb 15 20:44:33 +0000 2016
54|@mmeeggan_16 @AlmightyChinoo Lol of course you did|0|Mon Feb 15 20:44:33 +0000 2016
55|@CRDJSAngels: New #Mixtape #Alert #TheCoSign @Yung_Yungn_XO download now via @spinrilla https://t.co/N5ScKff4ZK https://t.co/kvQbEgiedy|1|Mon Feb 15 20:44:33 +0000 2016
56|@OlicityDreams: Barrowman. https://t.co/EiGXbGTjle|7|Mon Feb 15 20:44:33 +0000 2016
57|@Zayn_Raw: .@krbe I'm requesting @zaynmalik's new song #PillowTalk|1|Mon Feb 15 20:44:33 +0000 2016
58|@Tbhsherin they trying to get you up outta here|0|Mon Feb 15 20:44:33 +0000 2016
59|"I can hear every movement of that man's* teeth crunching his food partly because food is cascading from it as he chews. 

*not window man"|0|Mon Feb 15 20:44:33 +0000 2016
60|@baldwinhumane: Hanging with @Kelly_WPMI Local 15. We're with @KellyJ_WPMI every other Friday at 12:30!! https://t.co/54zMBajZwC|1|Mon Feb 15 20:44:33 +0000 2016
61|@aevarrafn: Protectors of Iceland and Mount Hekla. https://t.co/447fAQTgq0 via @Etsy #handmade #screenprinting #tshirtoftheday https://t   |2|Mon Feb 15 20:44:33 +0000 2016
62|Dear @ATinyAdventure , I think I've found the perfect t-shirt... https://t.co/XDz3LVbhG5|0|Mon Feb 15 20:44:33 +0000 2016
63|@_Okaykaykay true. . But she could not be so hard about it, ladies know guys are attracted to woman of all kinds. .|0|Mon Feb 15 20:44:33 +0000 2016
64|@JamillKeeper: Who need friends when i have you?       https://t.co/H7XJLdwaI6|1|Mon Feb 15 20:44:33 +0000 2016
65|@sidmedjo glad you agree!|0|Mon Feb 15 20:48:46 +0000 2016
66|:/ I knew I was taking a risk not using waterproof mascara  https://t.co/ELjudLh92c|0|Mon Feb 15 20:48:46 +0000 2016
67|I just over-infused my milk with thyme and bay leaves. Seriously, FML.|0|Mon Feb 15 20:48:46 +0000 2016
68|MIKEY MOTHERBEAR THE SPAM|0|Mon Feb 15 20:48:46 +0000 2016
69|"""are u gonna be a happy boy then?"""|0|Mon Feb 15 20:48:46 +0000 2016
70|@Beymonce: I didnt know ciara was sooo bad at singing.  https://t.co/MHzT2R39Hm|1|Mon Feb 15 20:48:46 +0000 2016
71|@Leonfe26: Funny and #sarcastic illustrations #4         https://t.co/2WcKkc19rC https://t.co/7vBMVDlrMC|5|Mon Feb 15 20:48:46 +0000 2016
72|Shout out to #Obama for being proof of making #haters your motivators.|0|Mon Feb 15 20:48:46 +0000 2016
73|@web20classroom: The PBL Resources over at @BIEpbl are really second to none. https://t.co/lfBr1NIQzy|1|Mon Feb 15 20:48:46 +0000 2016
74|@jiyongbling:     virgo: sphinx     https://t.co/sii7XTfSR6|2|Mon Feb 15 20:48:46 +0000 2016
75|@JamesAwandu on my Timeline the pinned tweet|0|Mon Feb 15 20:48:46 +0000 2016
76|DON'T KNOW WHY I  CAME IN THIS CLUB WITH YOU GIRL|0|Mon Feb 15 20:48:46 +0000 2016
77|@boopjpg:     like an illusion     #       #jungkook #                #btsfanart (ref by @justkookiee) https://t.co/vqahjuyDvO|9|Mon Feb 15 20:48:46 +0000 2016
78|@graham_euan: Expert: don't swallow selective quote bubblegum propaganda from @XHNews  https://t.co/83OOsgmtcx|2|Mon Feb 15 20:48:46 +0000 2016
79|"Suddenly the media are talking is up for the league.  If it doesn't work out it will be ""the fans all said this was the year"". #THFC"|0|Mon Feb 15 20:48:46 +0000 2016
80|@Llydisblur BREAD FOR YOUR STARVING WIFE AND CHILD. GO LUNAR PRISON. WHAT THE FUCK IS THIS LES FUCKING MISERABLES?|0|Mon Feb 15 20:48:46 +0000 2016
81|Um I'm too uptight  https://t.co/HMYrd2Dczd|0|Mon Feb 15 20:48:46 +0000 2016
82|@socialistprick15 year olds are sucking people off in car parks cus deluded  people like you bring them up and look to blame others|0|Mon Feb 15 20:48:46 +0000 2016
83|@JennaAnneWeber @MarkMeets thank you     |0|Mon Feb 15 20:48:46 +0000 2016
84|That's that bullshit . Only makes me madder. https://t.co/3r274nakNB|0|Mon Feb 15 20:48:46 +0000 2016
85|The Senate must do its job and consider Obama's pick to replace Scalia https://t.co/Ggv1NDeiMC @GOP AS HORRIBLE AS SCALIA! TRAITORS 2 PUBLIC|0|Mon Feb 15 20:48:46 +0000 2016
86|@CockShare:    @bi_ndk85: How is this for some #WetWednesday #precum? #HotSAcock #uncutcock @CocksDaily2 @CockShare http://t.co/cBOvk19ABo   |3|Mon Feb 15 20:48:46 +0000 2016
87|@girsponge it's never too late to be you &lt;3|0|Mon Feb 15 20:48:46 +0000 2016
88|@aminugamawa @dhortuneademola I think consultation before approval isn't good,It looks like imposition|0|Mon Feb 15 20:48:46 +0000 2016
89|@MissWallMath: My people. Wow, it's been a good year. @AvesDanceTeam https://t.co/Bi5xgTw8nv|4|Mon Feb 15 20:48:46 +0000 2016
90|Gia's such a dork                     |0|Mon Feb 15 20:48:46 +0000 2016
91|I liked a @YouTube video https://t.co/XCbuCXe1Rd Pachelbel - Canon in D (Best Piano Version)|0|Mon Feb 15 20:48:46 +0000 2016
92|"Just maybe you follow me.
I want so much that.
All the good wishes
@Harry_Styles z"|0|Mon Feb 15 20:48:46 +0000 2016
93|The Senate must do its job and consider Obama's pick to replace Scalia https://t.co/ayfIwq22FS|0|Mon Feb 15 20:48:46 +0000 2016
94|THIS FRIDAY Shangri-La! @ The Carlton Club, Prestwich   5 on door #raffle #pies #bar #cabaret #entertainment #AdventuresofSalvador #party !|0|Mon Feb 15 20:48:46 +0000 2016
95|@matt_5200 @JT_Payton @BenMay13 see this guy gets it, he wore the brown pants|0|Mon Feb 15 20:48:46 +0000 2016
96|I've just watched episode S01E10 of The Twilight Zone! https://t.co/VYrm6Pp51v #twilightzone #tvshowtime https://t.co/ksJ39DrH1G|0|Mon Feb 15 20:48:46 +0000 2016
97|"""Tch, she wishes that she gave birth to Inuyasha."""|0|Mon Feb 15 20:48:46 +0000 2016
98|when ur at the barrier for a gig but u rly have to pee      the struggles!!!!!!|0|Mon Feb 15 20:48:46 +0000 2016
99|@TheFive POTUS would destroy RNC if he nominated @tedcruz for SC. GOP would have 2 rally for him after espousing hate for so long. + more.|0|Mon Feb 15 20:48:46 +0000 2016
100|@bieberftmarshal: LOOK AT HA I CANT SHES PERFECT             https://t.co/5Chjm4UPaY|6|Mon Feb 15 20:48:46 +0000 2016
101|@DonnaHay: This super-green zucchini frittata is  simple to make and good for you! From Fresh + Light https://t.co/zYFUrTcjqc https://t.   |4|Mon Feb 15 20:48:46 +0000 2016
102|he really wants me to die so bad https://t.co/t18AHMWosb|0|Mon Feb 15 20:48:46 +0000 2016
103|@Hai I hate time Difference it  s about 10 PM in Germany Fail|0|Mon Feb 15 20:48:46 +0000 2016
104|School is tearing me apart.|0|Mon Feb 15 20:48:46 +0000 2016
105|Dear Black child stay strong this system is too violent on us. I'm saddened . #IAmLindelani|0|Mon Feb 15 20:48:46 +0000 2016
106|"@yournewbook: ""M.T. Magee has captured a wonderful story full of #intrigue and #romance."" 25 five star reviews https://t.co/gTbhwfKheN @   "|6|Mon Feb 15 20:48:46 +0000 2016
107|@RedHotSquirrel: Thank goodness Switzerland &amp; Norway kept EFTA alive after we departed, even adding new members. Other EU members can jo   |10|Mon Feb 15 20:48:46 +0000 2016
108|@k_lindyman I blame 21 pilots for my speeding #jamtohard|0|Mon Feb 15 20:48:46 +0000 2016
109|@brucebusiness: Social media everywhere! I am outraged by whatever it is that this piece is about  https://t.co/ipkfAwvVSp|2|Mon Feb 15 20:48:46 +0000 2016
110|46. The best vine of all time, Crack Kid. https://t.co/qbR3vgR1PX|0|Mon Feb 15 20:48:46 +0000 2016
111|Update - turns out my Salmon Risotto is pretty good! Definitely goin' in the big book of recipes to make later.|0|Mon Feb 15 20:48:46 +0000 2016
112|You the type of person to shovel your driveway while its still snowing outp|0|Mon Feb 15 20:48:46 +0000 2016
113|@juanjo_red: Waking up to horrible news     |1|Mon Feb 15 20:48:46 +0000 2016
114|"   Good friends, good books, and a sleepy conscience: this is the ideal life.   
    Mark Twain"|0|Mon Feb 15 20:48:46 +0000 2016
115|@jayrdub13 I know, I know.  but say it anyway. https://t.co/9mTBzQMidx|0|Mon Feb 15 20:48:46 +0000 2016
116|Car Tires 101: What to look for and what to check when examining your car's tires: https://t.co/W4ZosN6Jir https://t.co/f0RhCKG4vf|0|Mon Feb 15 20:48:46 +0000 2016
117|"@ScorpioBert: Clive Intro https://t.co/a6klR1gnbZ
Performance: https://t.co/fxL8roguko
via @devenlane"|8|Mon Feb 15 20:48:46 +0000 2016
118|@DubaiJane @SeaWorldTyler @SeaWorld Yes, they are all the same. Nothing special about you. Keep dreaming.|0|Mon Feb 15 20:48:46 +0000 2016
119|he's so smol and squishy i want to cuddle https://t.co/c7jp6t6cJc|0|Mon Feb 15 20:48:46 +0000 2016
120|AMAZING!!   The Best Beat Drops and Vine Songs Mega Mix (257 songs) https://t.co/mVla0CT7Ic via @YouTube|0|Mon Feb 15 20:48:46 +0000 2016
121|"@SheerExcellence: I'm online      Bow to my perfection https://t.co/aHNlY078YE

#FemDom #FinDom #Goddess 

@RTpig @underdeskloser @FindomR   "|2|Mon Feb 15 20:48:46 +0000 2016
122|"@Akito_Z: Random manga cover of the day: ""17-Sai"" by Rin Mikimoto. https://t.co/Kx6764vKuL"|1|Mon Feb 15 20:48:46 +0000 2016
123|"when you love someone but it goes to waste
could it be worse?"|0|Mon Feb 15 20:48:46 +0000 2016
124|@SumNegro @TheTruf21 @ItsHarvin he cute|0|Mon Feb 15 20:48:46 +0000 2016
125|every moment I spent with you.. is like a beautiful dream come true- Josie|0|Mon Feb 15 20:48:46 +0000 2016
126|New series of #Indiansummers set to return to our screens. Ensure you're prepared with your #bollywood shoes https://t.co/T0EUqSwFeL|0|Mon Feb 15 20:48:46 +0000 2016
127|if my tweets have made you angry before.|0|Mon Feb 15 20:52:24 +0000 2016
128|@Reyes10Tyler how does this tweet benefit anyone??|0|Mon Feb 15 20:52:24 +0000 2016
129|And I will see you! Looking forward to it.  https://t.co/GXPPGUpQt6|0|Mon Feb 15 20:52:24 +0000 2016
130|@Something_Mvjor: @_xpvreeecaineee ugly bitches|1|Mon Feb 15 20:52:24 +0000 2016
131|@leeodden: These Are the Brands Americans Trust the Most https://t.co/BXX1NAtjtm https://t.co/xvpezwEkfb|5|Mon Feb 15 20:52:24 +0000 2016
132|#Kindle #AMAZON #France The Girl Nobody Wants is a #Shocking True Story of #ChildAbuse in #Ireland #Catholic #Church https://t.co/Axk7Kd387L|0|Mon Feb 15 20:52:24 +0000 2016
133|@BridgendAC: Well done to everyone out tonight as we experimented with the tempo run &amp; hills session.thanks to our group leaders.hope yo   |1|Mon Feb 15 20:52:24 +0000 2016
134|i just wanna go to sleep..     |0|Mon Feb 15 20:52:24 +0000 2016
135|My mom is really trying to clean on the hottest day smh|0|Mon Feb 15 20:52:24 +0000 2016
136|@toxicsoy: The #Monsanto Tribunal started a Twitter account today. Follow and RT pls! https://t.co/8eUaeFYC9z|10|Mon Feb 15 20:52:24 +0000 2016
137|"@JeffWhite25 Once a KGB agent, always a KGB agent @Putin
Same old tactics being used from unwanted witnesses to Ukraine/Syria..."|0|Mon Feb 15 20:52:24 +0000 2016
138|@USATODAYcollege: It's time to start applying for scholarships! Here are the best resources. https://t.co/FMTFcpYP5I|9|Mon Feb 15 20:52:24 +0000 2016
139|if she stan zayn she has 9193819182818191 photos on his phone of him and many repeated|0|Mon Feb 15 20:52:24 +0000 2016
140|of course she will :))) https://t.co/Q5SihVULFP|0|Mon Feb 15 20:52:24 +0000 2016
141|@RM_Makeup: My fab #mediamakeup students from @bbcollege doing an ace job applying #theatremakeup for #clitheroedramaticsociety https://   |2|Mon Feb 15 20:52:24 +0000 2016
142|Defiant bitch till I die     |0|Mon Feb 15 20:52:24 +0000 2016
143|Me stanning boy groups has nothing to do with your nasty tweets, but #werk I guess.|0|Mon Feb 15 20:52:24 +0000 2016
144|if you look in the mirror and say Dylan McDermott three times Dermot Mulroney will appear|0|Mon Feb 15 20:52:24 +0000 2016
145|i gotta say im feeling actually kinda good today|0|Mon Feb 15 20:52:24 +0000 2016
146|@Lang_Michael6 dang should've told me earlier bruh lol currently eating some fried chicken rn|0|Mon Feb 15 20:52:24 +0000 2016
147|"Hii @Harry_Styles
Hope you're enjoying yourself! x  You have make me feel wanted. Mind following me, please? I love you always       *     13.330"|0|Mon Feb 15 20:52:24 +0000 2016
148|Indian unicorn targets price-conscious; Optimism for online shopping remains despite ongoing losses|0|Mon Feb 15 20:52:24 +0000 2016
149|@CuntinaFuckoffa: @curse_t_70 that's me! I put the rave in brave|1|Mon Feb 15 20:52:24 +0000 2016
150|i don't remember who you are but thank you to the human who drove me home last night #iappreciateyou|0|Mon Feb 15 20:52:24 +0000 2016
151|There could be a threat for an isolated severe thunderstorm tomorrow afternoon across NJ.|0|Mon Feb 15 20:52:24 +0000 2016
152|How good is it just doing nothing at times|1|Mon Feb 15 20:52:24 +0000 2016
153|@verduzco_5: My attitude for the rest of senior year https://t.co/Bxs7i4sUVo|4|Mon Feb 15 20:52:24 +0000 2016
154|If you don't know where you're going, how do know when you get there?|0|Mon Feb 15 20:52:24 +0000 2016
155|I wanna explore your body        |0|Mon Feb 15 20:52:24 +0000 2016
156|"@se4realhinton: It could have been a scene of a soldier going back to war in the last century.
You have to read this! #Iliad"|1|Mon Feb 15 20:52:24 +0000 2016
157|@GRANDEnESPINOSA im WORRIED bc the grammys never actually confirmed smh :(|0|Mon Feb 15 20:52:24 +0000 2016
158|@mariannepowell @laurakcarus Ah. The lurgy with bonus tracks. I did that one in December and January.|0|Mon Feb 15 20:52:24 +0000 2016
159|@SchoolLifeTroy: Athens High School Charity Week raised 84K for the Joan Rose Foundation. Watch highlights of this week's events https:/   |7|Mon Feb 15 20:52:24 +0000 2016
160|@HofmannKeith You mean like you did with this teenaged girl and her parents?|0|Mon Feb 15 20:52:24 +0000 2016
161|Probably the dumbest thing I've ever done.|0|Mon Feb 15 20:52:24 +0000 2016
162|@seanhannity Caller just nailed you!! Maybe you should listen Levin to how it's done. We don't need access to Trump. He's all over the MSM.|0|Mon Feb 15 20:52:24 +0000 2016
163|@The50Rules: Do you fit one of these? #entrepreneur #social #media #branding #Startup #marketing ? So are our smart followers.|3|Mon Feb 15 20:52:24 +0000 2016
164|@zecville: why will I keep an atheist as a friend?|2|Mon Feb 15 20:52:24 +0000 2016
165|@DatOneGuyJoel: Nobody literally fucks with you. Bitch your        were too dull to cut anybody off.|1|Mon Feb 15 20:52:24 +0000 2016
166|@mitchellvii I'd like to see more of the polite presidential guy. All the name calling makes him look weak. His observations are correct tho|0|Mon Feb 15 20:52:24 +0000 2016
167|@foxandfriends @tedcruz Finally picked the candidate I will be supporting for POTUS today!  I'm voting for #TedCruz https://t.co/OHn7SM9HBL|0|Mon Feb 15 20:52:24 +0000 2016
168|In case you missed it the first time, here's my early January post on Layman Albatrosses, seen in Kaua'i: https://t.co/o7qZV3GAeV|0|Mon Feb 15 20:52:24 +0000 2016
169|I just checked in at T-Mobile with #mPLUSPlaces Download today!  https://t.co/xa2UJoQKyU|0|Mon Feb 15 20:52:24 +0000 2016
170|@jazzyjaylovee they was over us          estaba buena la cena . I didn't even take a sip out of my soda lol|0|Mon Feb 15 20:52:24 +0000 2016
171|I just feel kinda sad|0|Mon Feb 15 20:52:24 +0000 2016
172|@PanPotOFFICIAL May I send you some promos?|0|Mon Feb 15 20:52:24 +0000 2016
173|We Think These Martian Roadmaps Accidentally Revealed the Site of an Upcoming Mars Landing: In 2018, a Martian... https://t.co/bQFcYFHl5b|0|Mon Feb 15 20:52:24 +0000 2016
174|@1kallenn thank you|0|Mon Feb 15 20:52:24 +0000 2016
175|@Clexamour: @wingsoflirry babe #InternetFriendsDay|1|Mon Feb 15 20:52:24 +0000 2016
176|Link of the day! Most popular link among people I follow is https://t.co/yNYZDuHRN5 by @NASA|0|Mon Feb 15 20:52:24 +0000 2016
177|@suheylademirkpi: @tarikkayaBJK Amin|1|Mon Feb 15 20:52:24 +0000 2016
178|@iam_SeanDennis: Check out my new tune  #Nsido (Remix ) Ft Tha suspect https://t.co/FGHPgLZCvT and RT cc @mreazi @SAMKLEF @UNCLE_AJALA|3|Mon Feb 15 20:52:24 +0000 2016
179|You see Cooper that's what happens when you let headloss get the better of you|0|Mon Feb 15 20:52:24 +0000 2016
180|@DriverWrites @longreads I just arrived about 3 weeks ago, but will be here until June. Came for the food! It's fantastic :)|0|Mon Feb 15 20:52:24 +0000 2016
181|"Here's a poem I wrote inspired by @cthagod and a piece of artwork.
""Embrace Your Truth"" https://t.co/BFFT3GngbJ
 #poetry #inspiration"|0|Mon Feb 15 20:52:24 +0000 2016
182|1 tweep unfollowed (goodbye!) me in the past day. Thank you https://t.co/RyqI6v2pAj.|0|Mon Feb 15 20:52:24 +0000 2016
183|"@missclairegrady T-Rex ""How dared you writing such a bad script?""
Unlucky bastard ""Well, wait for JP3-..aaaaaahhhh....____"""|0|Mon Feb 15 20:52:24 +0000 2016
184|listening to: The One (feat. Sneaky Sound System) - The Knocks https://t.co/HVJNRkfGRw|0|Mon Feb 15 20:52:24 +0000 2016
185|Need a good email client for all my accounts across multiple devices?|0|Mon Feb 15 20:52:24 +0000 2016
186|@tawie89: False advertising      https://t.co/hMX0aCc37M|1|Mon Feb 15 20:52:24 +0000 2016
187|Wish they would leave the light where it at and put another one facing pan. #SafariLive|0|Mon Feb 15 20:52:25 +0000 2016
188|@theawakened_ is that why the alarm went off? Geez|0|Mon Feb 15 20:52:25 +0000 2016
189|@ornab56: 15% OFF select products. #Sale ending soon! SALE details: https://t.co/XrRfS9epVi. via @OTstores https://t.co/lOAv6czjg9|1|Mon Feb 15 20:52:25 +0000 2016
190|@kevinskicks: Didn't get your sugar fix from V-day? Well good thing, because Kevin's Kicks will be having a bake sale Tues-Thurs all lun   |4|Mon Feb 15 20:52:25 +0000 2016
191|@LoserInTheEnd: BBC Radio 5 Live now Bob Paisley appreciation! https://t.co/FxKmvpGM76  #LFC|2|Mon Feb 15 20:52:25 +0000 2016
192|@fxckthatshxt23          she can't get in where she don't fit in.|1|Mon Feb 15 20:52:25 +0000 2016
193|@ladygaga gonna be a Great Performance tonight!|0|Mon Feb 15 20:52:25 +0000 2016
194|@TriangleMadMan Yes, yes i did miss you|0|Mon Feb 15 20:52:25 +0000 2016
195|@jarred_419 because you said you'd kill yourself...so I said I'll give you the gun to do so...|0|Mon Feb 15 20:52:25 +0000 2016
196|I wanna watch the Grammys but I'm honestly to lazy to get up and get the remote smh|0|Mon Feb 15 20:52:25 +0000 2016
197|Sounds a lot like @BernieSanders doesn't she? https://t.co/DFPtCewwKj|0|Mon Feb 15 20:52:25 +0000 2016
198|'ve been having this dream that we can fly, So maybe if we never wake up, we can see the sky.|0|Mon Feb 15 20:52:25 +0000 2016
199|The key takeaway, the problem is the broken Republican Party, not Madisonian institutions: https://t.co/KZu0n4ZCZC|0|Mon Feb 15 20:52:25 +0000 2016
200|@93ZAYNPORNS: @ZAYNGONADA @zaynmalik waw amazing|1|Mon Feb 15 20:52:25 +0000 2016
201|#MondayMotivation for all of our #physicians &amp; followers of #premierphysicianagency - https://t.co/igBmfjwuss https://t.co/a96YC7aZbA|0|Mon Feb 15 20:52:25 +0000 2016
202|My belly hurts I'm so scared for Justin|0|Mon Feb 15 20:52:25 +0000 2016
203|"@Keaton_J: I have no prob with Christians making good music or working with secular artists but spare me the whole ""I'm trying to reach    "|9|Mon Feb 15 20:52:25 +0000 2016
204|@IanDon: Heatwave I https://t.co/jwfwI3Est9|1|Mon Feb 15 20:52:25 +0000 2016
205|@mbanalnemer: 21. Saudi laws states: A prisoner must be enrolled in academic program but #Ali_Alnimr wasn   t allowed to take the exams fo   |10|Mon Feb 15 20:52:25 +0000 2016
206|Iceland Sentences 26 Corrupt Bankers To 74 Years In Prison https://t.co/Fl0MPRHLT8|0|Mon Feb 15 20:52:25 +0000 2016
207|https://t.co/yG6Yi03e5S Search for ur favorite song here 2016 its mobile friendly https://t.co/ztOYhTbZZg|0|Mon Feb 15 20:52:25 +0000 2016
208|Wit the      #UncleBan https://t.co/YGZWbic2rT|0|Mon Feb 15 20:52:24 +0000 2016
209|@bigdaddyjor: i hate everyone and everything rn|1|Mon Feb 15 20:52:24 +0000 2016
